code,name_short,gender,function,country,nationality,height,weight,disciplines,events,birth_date,occupation,education,family,lang
1532872,ALEKSANYAN A,Male,Athlete,Armenia,Armenia,0,0,['Wrestling'],"[""Men's Greco-Roman 97kg""]",21/10/1991,Athlete,"Graduated from Shirak State University (Gyumri, ARM)","Father, Gevorg Aleksanyan","Armenian, English, Russian"
1532873,AMOYAN M,Male,Athlete,Armenia,Armenia,0,0,['Wrestling'],"[""Men's Greco-Roman 77kg""]",22/01/1999,,,,Armenian
1532874,GALSTYAN S,Male,Athlete,Armenia,Armenia,0,0,['Wrestling'],"[""Men's Greco-Roman 67kg""]",21/12/1996,,,,Armenian
1532944,HARUTYUNYAN A,Male,Athlete,Armenia,Armenia,0,0,['Wrestling'],"[""Men's Freestyle 57kg""]",22/11/1999,Athlete,Graduated with a Master's degree from the Armenian State Institute of Physical Culture and Sport (2023),"Wife, Diana (married October 2022). Daughter, Marias (born 2023)",Armenian
1532945,TEVANYAN V,Male,Athlete,Armenia,Armenia,0,0,['Wrestling'],"[""Men's Freestyle 65kg""]",27/10/1999,Athlete,"Studied at the Armenian State Institute of Physical Culture and Sport (Yerevan, ARM)","Wife, Sona (married November 2023)","Armenian, Russian"
1532951,ARENAS L,Female,Athlete,Colombia,Colombia,162,0,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",17/09/1993,Athlete,"Physical Education at Jaime Isaza Cadavid Colombian Polytechnic, Medellin (COL)","Father, Jose Otoniel. Mother, Maria Rudy. Has three siblings",Spanish
1533112,McKENZIE A,Male,Athlete,Jamaica,Jamaica,0,0,['Judo'],['Men -60 kg'],17/07/1989,Athlete,,"One daughter, Lana-Rose, who lives in France",English
1533136,BASS BITTAYE GM,Female,Athlete,Gambia,Gambia,161,0,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",3/05/1995,"Athlete, police officer (sub-inspector)",,"Husband, Mustapha Bittaye - physical education lecturer and football referee (married October 2023). One sister and two brothers","English, French"
1533176,CAMARA E,Male,Athlete,Gambia,Gambia,178,0,['Athletics'],"[""Men's 100m""]",18/09/1996,"Athlete, prison officer",,Married. One daughter. Has three brothers,"Arabic, English, French, Mandinka, Wolof"
1533188,RUEDA SANTOS L,Female,Athlete,Mexico,Mexico,0,0,['Triathlon'],"[""Women's Individual""]",7/03/1994,Athlete,Studied Medicine at the University of Guadalajara (MEX),,Spanish
